Frequency DateTime Pmin Pmax PathLength XStart YStart XEnd YEnd ID
39.207 201208282215 -54 -53 4.98579 6.45558 52.81826 6.51173 52.7891 440
37.912 201208282215 -47 -46 2.98403 6.60336 52.83134 6.6035 52.85816 441
37.978 201208282215 -42 -42 2.58349 6.5192 52.85566 6.5251 52.8786 439
39.252 201208282215 -50 -50 3.73824 6.45558 52.81826 6.51082 52.82123 442
37.992 201208282215 -51 -50 3.73824 6.51082 52.82123 6.45558 52.81826 459
39.239 201208282215 -44 -43 2.58349 6.5251 52.8786 6.5192 52.85566 448
25.382 201208282215 -38 -37 8.69559 6.85095 52.85007 6.93802 52.79241 455
37.912 201208282215 -46 -46 3.10822 6.31414 52.82447 6.35735 52.83422 553
39.172 201208282215 -47 -46 3.10822 6.35735 52.83422 6.31414 52.82447 542
39.172 201208282215 -47 -46 2.98403 6.6035 52.85816 6.60336 52.83134 466
18.03 201208282215 -65 -59 13.50599 6.94267 52.99448 7.07683 53.08498 475
39.165 201208282215 -47 -46 4.78188 6.94839 52.91493 7.01525 52.92956 471
39.256 201208282215 -54 -53 2.12735 6.95347 52.98836 6.97979 52.97772 478
39.239 201208282215 -52 -52 4.17584 6.73513 52.80194 6.6765 52.81402 476
39.165 201208282215 -54 -53 3.0793 7.01344 52.87503 7.05851 52.87976 473
37.905 201208282215 -49 -47 4.78188 7.01525 52.92956 6.94839 52.91493 543
37.905 201208282215 -56 -55 3.0793 7.05851 52.87976 7.01344 52.87503 480
18.003 201208282215 -58 -56 7.56082 7.12769 52.92908 7.01525 52.92956 546
17.997 201208282215 -54 -52 14.11476 6.38813 52.89363 6.27463 52.78701 470
37.999 201208282215 -55 -54 4.29863 6.38813 52.89363 6.44731 52.90818 472
39.26 201208282215 -55 -55 4.29863 6.44731 52.90818 6.38813 52.89363 469
26.39 201208282215 -50 -49 7.95289 6.23533 52.92439 6.12104 52.9428 1350
37.912 201208282215 -52 -51 1.3529 6.29027 52.99027 6.27041 52.99235 1369
25.375 201208282215 -54 -53 5.86005 6.29027 52.99027 6.20368 52.9837 1370
38.007 201208282215 -50 -49 4.36945 6.56879 53.00951 6.58921 53.04679 2923
25.392 201208282215 -48 -47 2.91374 6.60905 53.19939 6.63152 53.17696 797
39.239 201208282215 -45 -44 4.29726 6.58641 53.1305 6.59599 53.16868 806
37.94 201208282215 -52 -52 1.5292 6.5679 53.21023 6.57222 53.22372 814
37.999 201208282215 -47 -47 1.36002 6.58561 53.20951 6.58308 53.19738 804
25.382 201208282215 -53 -52 5.90227 6.21379 53.26541 6.26425 53.30898 919
37.999 201208282215 -41 -40 3.75183 6.57014 53.19003 6.57222 53.22372 795
37.992 201208282215 -52 -52 0.1309 6.56877 53.21852 6.56696 53.21897 811
37.912 201208282215 -47 -47 0.73526 6.5679 53.21023 6.5651 53.21662 821
37.999 201208282215 -53 -52 2.66357 6.56984 52.98393 6.54071 52.96769 800
38.115 201208282215 -56 -56 1.81686 6.58561 53.20951 6.57222 53.22372 813
39.172 201208282215 -50 -49 1.34384 6.60905 53.19939 6.59218 53.20597 801
39.26 201208282215 -44 -43 3.75183 6.57222 53.22372 6.57014 53.19003 799
39.239 201208282215 -44 -44 1.44321 6.60604 53.22877 6.58937 53.22052 798
37.978 201208282215 -50 -49 2.00153 6.56877 53.21852 6.55517 53.2025 817
39.245 201208282215 -51 -50 1.61516 6.55769 52.99663 6.56879 53.00951 2924
39.239 201208282215 -51 -50 3.85081 6.53268 52.99481 6.57504 53.01815 805
38.077 201208282215 -47 -47 1.61457 6.54181 53.00762 6.52131 53.00002 815
25.102 201208282215 -49 -48 5.02111 6.56879 53.00951 6.54071 52.96769 2925
37.978 201208282215 -45 -45 1.44321 6.58937 53.22052 6.60604 53.22877 796
38.084 201208282215 -50 -49 1.32874 6.56879 53.00951 6.5834 53.01757 2912
39.2 201208282215 -46 -44 4.65382 6.76447 53.16784 6.79195 53.20626 886
37.992 201208282215 -48 -47 1.72478 6.56984 52.98393 6.57279 52.99933 2905
38.003 201208282215 -45 -44 4.37035 6.92516 53.17983 6.98553 53.164790000000004 818
38.356 201208282215 -46 -45 3.90479 6.57222 53.22372 6.62579 53.23779 808
37.978 201208282215 -49 -48 3.85081 6.57504 53.01815 6.53268 52.99481 809
37.94 201208282215 -52 -51 2.92404 6.56879 53.00951 6.53268 52.99481 2913
39.263 201208282215 -44 -44 4.37035 6.98553 53.164790000000004 6.92516 53.17983 820
39.337 201208282215 -61 -61 1.01916 6.57488 53.21558 6.56015 53.21319 812
39.2 201208282215 -49 -49 1.5943 6.87999 53.11062 6.85956 53.10327 893
25.41 201208282215 -57 -56 6.02163 6.56879 53.00951 6.48125 53.02138 2914
37.079 201208282215 -47 -47 0.60799 6.57528 53.22887 6.57222 53.22372 892
39.165 201208282215 -45 -44 4.73183 6.71153 53.0478 6.74605 53.01071 884
26.418 201208282215 -50 -47 9.02027 6.60902 53.13927 6.53325 53.20633 883
37.986 201208282215 -51 -51 1.61516 6.56879 53.00951 6.55769 52.99663 2915
39.228 201208282215 -56 -56 2.61441 6.58442 52.98799 6.56879 53.00951 2918
25.382 201208282215 -54 -53 5.37254 6.53152 52.91973 6.54071 52.96769 891
39.228 201208282215 -62 -62 1.66395 6.76447 53.16784 6.7396 53.16835 894
25.386 201208282215 -50 -49 6.22589 6.56879 53.00951 6.52698 52.95957 2916
37.94 201208282215 -56 -56 1.63809 6.87816 53.08895 6.89421 53.10006 881
39.172 201208282215 -43 -43 0.73526 6.5651 53.21662 6.5679 53.21023 885
37.912 201208282215 -46 -45 4.68488 6.66676 52.979730000000004 6.66934 52.93766 889
39.364 201208282215 -56 -56 1.42305 6.57222 53.22372 6.56015 53.21319 822
39.172 201208282215 -60 -60 2.97052 6.98795 53.09842 6.948 53.08685 901
39.343 201208282215 -48 -48 1.32874 6.5834 53.01757 6.56879 53.00951 2919
39.172 201208282215 -54 -53 2.88593 6.76447 53.16784 6.80701 53.16349 898
39.245 201208282215 -48 -47 1.55384 6.55446 53.2351 6.57528 53.22887 880
37.968 201208282215 -58 -58 1.66395 6.7396 53.16835 6.76447 53.16784 897
39.2 201208282215 -56 -55 1.63809 6.89421 53.10006 6.87816 53.08895 896
37.079 201208282215 -45 -44 0.60799 6.57528 53.22887 6.57222 53.22372 892
26.39 201208282215 -50 -49 5.21172 6.70118 53.27074 6.74377 53.31 1003
26.39 201208282215 -45 -44 9.5461 6.52131 53.00002 6.3973 53.04206 902
39.26 201208282215 -47 -46 1.36002 6.58308 53.19738 6.58561 53.20951 899
37.912 201208282215 -51 -51 2.88593 6.80701 53.16349 6.76447 53.16784 905
25.382 201208282215 -46 -44 9.5461 6.3973 53.04206 6.52131 53.00002 907
19.095 201208282215 -50 -48 14.52881 6.57222 53.22372 6.41436 53.134 890
37.978 201208282215 -44 -43 4.29726 6.59599 53.16868 6.58641 53.1305 900
37.992 201208282215 -44 -44 0.88424 6.57528 53.22887 6.58611 53.23344 904
38.105 201208282215 -57 -56 1.42305 6.56015 53.21319 6.57222 53.22372 910
39.337 201208282215 -52 -52 1.61457 6.52131 53.00002 6.54181 53.00762 909
39.172 201208282215 -44 -44 0.66044 6.58308 53.19738 6.57372 53.19929 918
37.94 201208282215 -51 -50 3.76288 6.59599 53.16868 6.63271 53.14307 906
37.986 201208282215 -43 -41 0.42257 6.57528 53.22887 6.57079 53.23154 911
37.912 201208282215 -46 -46 0.66044 6.57372 53.19929 6.58308 53.19738 924
26.39 201208282215 -55 -54 5.86709 6.48125 53.02138 6.45154 53.07097 915
39.2 201208282215 -52 -52 1.5292 6.57222 53.22372 6.5679 53.21023 903
39.267 201208282215 -47 -45 4.36945 6.58921 53.04679 6.56879 53.00951 2920
58.2 201208282215 -32 -32 0.08931 6.55662 53.21479 6.55559 53.21427 916
39.239 201208282215 -52 -51 2.00153 6.55517 53.2025 6.56877 53.21852 917
